DRS_ID,INSTITUTION_ID,SOURCE_ID,EXPERIMENT_ID,DOI,DOI code,Data Reference,License,License Uri
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585,CSIRO-ARCCSS,ACCESS-CM2,ssp585,https://doi.org/10.22033/ESGF/CMIP6.4332,4332,"Dix, Martin; Bi, Doahua; Dobrohotoff, Peter; Fiedler, Russell; Harman, Ian; Law, Rachel; Mackallah, Chloe; Marsland, Simon; O'Farrell, Siobhan; Rashid, Harun; Srbinovsky, Jhan; Sullivan, Arnold; Trenham, Claire; Vohralik, Peter; Watterson, Ian; Williams, Gareth; Woodhouse, Matthew; Bodman, Roger; Dias, Fabio Boeira; Domingues, Catia; Hannah, Nicholas; Heerdegen, Aidan; Savita, Abhishek; Wales, Scott; Allen, Chris; Druken, Kelsey; Evans, Ben; Richards, Clare; Ridzwan, Syazwan Mohamed; Roberts, Dale; Smillie, Jon; Snow, Kate; Ward, Marshall; Yang, Rui (2019). CSIRO-ARCCSS ACCESS-CM2 model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4332 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,EC-Earth-Consortium,EC-Earth3,historical,https://doi.org/10.22033/ESGF/CMIP6.4700,4700,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3 model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4700 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,EC-Earth-Consortium,EC-Earth3,ssp126,https://doi.org/10.22033/ESGF/CMIP6.4874,4874,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3 model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4874 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,EC-Earth-Consortium,EC-Earth3,ssp585,https://doi.org/10.22033/ESGF/CMIP6.4912,4912,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3 model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4912 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg.historical,EC-Earth-Consortium,EC-Earth3-Veg,historical,https://doi.org/10.22033/ESGF/CMIP6.4706,4706,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3-Veg model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4706 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126,EC-Earth-Consortium,EC-Earth3-Veg,ssp126,https://doi.org/10.22033/ESGF/CMIP6.4876,4876,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3-Veg model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4876 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,EC-Earth-Consortium,EC-Earth3-Veg,ssp585,https://doi.org/10.22033/ESGF/CMIP6.4914,4914,EC-Earth Consortium (EC-Earth) (2019). EC-Earth-Consortium EC-Earth3-Veg model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4914 .,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,IPSL,IPSL-CM6A-LR,historical,https://doi.org/10.22033/ESGF/CMIP6.5195,5195,"Boucher, Olivier; Denvil, Sébastien; Levavasseur, Guillaume; Cozic, Anne; Caubel, Arnaud; Foujols, Marie-Alice; Meurdesoif, Yann; Cadule, Patricia; Devilliers, Marion; Ghattas, Josefine; Lebas, Nicolas; Lurton, Thibaut; Mellul, Lidia; Musat, Ionela; Mignot, Juliette; Cheruy, Frédérique (2018). IPSL IPSL-CM6A-LR model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.5195 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,IPSL,IPSL-CM6A-LR,ssp126,https://doi.org/10.22033/ESGF/CMIP6.5262,5262,"Boucher, Olivier; Denvil, Sébastien; Levavasseur, Guillaume; Cozic, Anne; Caubel, Arnaud; Foujols, Marie-Alice; Meurdesoif, Yann; Cadule, Patricia; Devilliers, Marion; Dupont, Eliott; Lurton, Thibaut (2019). IPSL IPSL-CM6A-LR model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.5262 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,IPSL,IPSL-CM6A-LR,ssp585,https://doi.org/10.22033/ESGF/CMIP6.5271,5271,"Boucher, Olivier; Denvil, Sébastien; Levavasseur, Guillaume; Cozic, Anne; Caubel, Arnaud; Foujols, Marie-Alice; Meurdesoif, Yann; Cadule, Patricia; Devilliers, Marion; Dupont, Eliott; Lurton, Thibaut (2019). IPSL IPSL-CM6A-LR model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.5271 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
